policy,window_hours,target_fpr,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
myopic,120,0.3,0.16944964230060577,0.5573344006403842,0.29979430259575296,0.2947224489795918,0.3414119508835683
fast,24,0.005,0.9057711958885193,0.16870122073243946,0.004829260091799414,0.0019157894736842106,0.025629143012809875
fast,24,0.01,0.8258122158050545,0.2592555533319992,0.009843565519706174,0.004949561403508772,0.04478289595225496
fast,24,0.02,0.6898866319656366,0.3697218330998599,0.019854095022511283,0.012270175438596492,0.0739973008770584
fast,24,0.03,0.5821118950843811,0.4473684210526316,0.030133536562611685,0.02052982456140351,0.09869646765592759
fast,24,0.05,0.4321740806102752,0.5467280368220933,0.05001610009837026,0.0377719298245614,0.1374298212379017
fast,24,0.075,0.31162315607070934,0.6361817090254153,0.0747767818500148,0.06056228070175439,0.17625711181320317
fast,24,0.1,0.23101422488689488,0.6985191114668802,0.1005184731797752,0.08490043859649123,0.21201892517292234
fast,24,0.15,0.14007236063480355,0.7805683410046028,0.15029374504445897,0.13345087719298246,0.27053854078274564
fast,24,0.2,0.09130468219518661,0.8367020212127276,0.20015172948141524,0.1833359649122807,0.3202030291549115
fast,24,0.3,0.043533071875572205,0.9066439863918351,0.2998415380999114,0.285130701754386,0.4048653100077341
fast,120,0.005,0.9673523879051166,0.6518911346808085,0.004499147513189783,0.0015948979591836735,0.028330284140148456
fast,120,0.01,0.9398242831230164,0.7584550730438263,0.00917247611376981,0.0041938775510204085,0.05002490988482842
fast,120,0.02,0.8799030780792236,0.8613167900740444,0.019934866278496003,0.01155,0.08873780148287079
fast,120,0.03,0.8271117210388184,0.9028417050230139,0.03038664108372471,0.01982908163265306,0.11701784719983589
fast,120,0.05,0.7345057129859924,0.9404642785671403,0.0503306029803612,0.036863265306122446,0.16083831182151964
fast,120,0.075,0.637667179107666,0.9626776065639384,0.0753603797602486,0.05928724489795918,0.20725024177241158
fast,120,0.1,0.5564858913421631,0.973384030418251,0.09981986128272774,0.08223163265306123,0.24414199053005722
fast,120,0.15,0.42500582337379456,0.9871923153892336,0.15033783399678288,0.13100612244897958,0.3089663025776498
fast,120,0.2,0.32912418246269226,0.9922953772263358,0.2002996096615475,0.18046071428571428,0.3630898304871871
fast,120,0.3,0.19845848679542527,0.9966980188112867,0.30377909290309846,0.28496836734693876,0.45813255407956927
cusum,24,0.005,1.899105031490318,0.19421652991795077,0.004940825886957689,0.002582894736842105,0.02177459505327793
cusum,24,0.01,1.6986598348617554,0.2725635381228737,0.010079007818453983,0.006319736842105263,0.0369172383776455
