estimator,policy,kind,k,n_state_dims,tpr,fpr,threshold,ce_bits,mi_state_given_feat_bits,mi_total_bits,rdet,rdet_lo,rdet_hi
LogisticRegression,lag_10,lag,10,30,0.11341134113411341,0.04924943398056518,0.7293134268850715,0.9214335852882586,0.06067479171873136,0.06473593283722223,0.937266044675643,0.9330375183879058,0.9427658078000175
LogisticRegression,lag_30,lag,30,90,0.11781178117811782,0.04889591113175809,0.7985023096043288,0.8079626257570176,0.17414575124997234,0.1782068923684632,0.977211088389926,0.9755085239938319,0.9793130737327065
LogisticRegression,lag_60,lag,60,180,0.1347134713471347,0.04895206638572023,0.8198979819409873,0.6872154300836826,0.29489294692330736,0.29895408804179824,0.9864155023097625,0.9853350663601906,0.9876880625278861
LogisticRegression,lag_120,lag,120,360,0.20222022202220222,0.04941917599822345,0.8205178100997598,0.5520844148026828,0.43002396220430716,0.43408510332279804,0.9906443665368749,0.9899394041588125,0.9914647223151017
LogisticRegression,ema_120,ema,120,3,0.5885588558855885,0.0503093643991005,0.6445897291201224,0.3957497175721798,0.5863586594348101,0.590419800553301,0.993121604128647,0.9926625572899823,0.9937069570158386
LogisticRegression,ema_120_clock,ema_clock,120,4,0.6568656865686568,0.05046315321961044,0.596390279927651,0.36428651949133506,0.6178218575156549,0.6218829986341458,0.9934696058142601,0.9930186524956424,0.994024994342829
LogisticRegression,ema_120_bc,ema_bc,120,3,0.009400940094009401,0.048886977341355026,0.8246650019274502,0.8858268684083622,0.09628150859862772,0.10034264971711859,0.9595272685150347,0.9557457594378904,0.9636608259029784
HistGradientBoosting,myopic,myopic,0,0,0.09400940094009401,0.06191435813268466,0.5804537691457081,0.9831015434516496,0.0,0.003067974673831242,0.0,0.0,0.0
HistGradientBoosting,clock,clock,0,1,0.7236723672367237,0.05131952084253301,0.5408070381120235,0.37008297152946507,0.6130185719221846,0.6160865465960157,0.9950202212809511,0.9945783696288919,0.9955925869784228
HistGradientBoosting,mean_120,mean,120,3,0.17451745174517452,0.049610614364003464,0.8904868018997419,0.6177995721321836,0.36530197131946596,0.3683699459932972,0.9916714848559142,0.9908897152026558,0.9926395687478987
HistGradientBoosting,mean_120_clock,mean_clock,120,4,0.6039603960396039,0.05036551965306263,0.728304372001128,0.40052689855497453,0.5825746448966751,0.5856426195705062,0.9947613534751261,0.9943001155430135,0.9953679098455169
HistGradientBoosting,lag_120,lag,120,360,0.18231823182318233,0.048867833504777025,0.8423030240686278,0.5785739277898432,0.4045276156618064,0.40759559033563764,0.9924729934607367,0.9917689709552484,0.9933641078743246
HistGradientBoosting,ema_120,ema,120,3,0.596059605960596,0.0504280561858841,0.6486175818779089,0.3885430715008017,0.5945584719508479,0.5976264466246791,0.9948664007572644,0.9944065284091763,0.9954602272415303
HistGradientBoosting,ema_120_clock,ema_clock,120,4,0.6437643764376437,0.05061566578434851,0.6654116671276769,0.3809968016783291,0.6021047417733205,0.6051727164471516,0.9949304147552411,0.9944829051058771,0.9955210923448223
HistGradientBoosting,ema_120_bc,ema_bc,120,3,0.0849084908490849,0.05031766006161763,0.8556459404071806,0.785709146921459,0.19739239653019058,0.20046037120402183,0.9846953557184189,0.9832002062872822,0.9865941601501039
